ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2014-01-01,18.549408,-8.59182804395749,162.5235705713497,18.549408,18.549408,59.83886061679476,59.83886061679476,59.83886061679476,74.2457616,74.2457616,74.2457616,1.513250382786745,1.513250382786745,1.513250382786745,-15.920151365991977,-15.920151365991977,-15.920151365991977,0.0,0.0,0.0,78.38826861679476
2014-01-02,18.42237171549894,-22.303323166614604,143.34734966769227,18.42237171549894,18.42237171549894,41.04265840253681,41.04265840253681,41.04265840253681,74.2457616,74.2457616,74.2457616,-13.457859999952243,-13.457859999952243,-13.457859999952243,-19.745243197510945,-19.745243197510945,-19.745243197510945,0.0,0.0,0.0,59.46503011803575
2014-01-03,18.295335430997877,-15.660435653961905,149.14440860897344,18.295335430997877,18.295335430997877,50.10998462219396,50.10998462219396,50.10998462219396,74.2457616,74.2457616,74.2457616,-1.0273656128020252,-1.0273656128020252,-1.0273656128020252,-23.108411365004002,-23.108411365004002,-23.108411365004002,0.0,0.0,0.0,68.40532005319184
2014-01-04,18.168299146496814,34.851577131088874,207.21193257192965,18.168299146496814,18.168299146496814,99.43601187725939,99.43601187725939,99.43601187725939,74.2457616,74.2457616,74.2457616,51.110044528502385,51.110044528502385,51.110044528502385,-25.919794251242994,-25.919794251242994,-25.919794251242994,0.0,0.0,0.0,117.6043110237562
2014-01-05,18.04126286199575,-18.5142847462834,152.7203435224478,18.04126286199575,18.04126286199575,52.50235458368755,52.50235458368755,52.50235458368755,74.2457616,74.2457616,74.2457616,6.358811076284302,6.358811076284302,6.358811076284302,-28.10221809259675,-28.10221809259675,-28.10221809259675,0.0,0.0,0.0,70.5436174456833
2014-01-06,17.91422657749469,-38.758037586004754,128.16096987444334,17.91422657749469,17.91422657749469,23.372464285147803,23.372464285147803,23.372464285147803,74.2457616,74.2457616,74.2457616,-21.280444952501796,-21.280444952501796,-21.280444952501796,-29.592852362350396,-29.592852362350396,-29.592852362350396,0.0,0.0,0.0,41.286690862642494
2014-01-07,17.78719029299363,-47.896323597216835,125.14783647353832,17.78719029299363,17.78719029299363,20.684782137740406,20.684782137740406,20.684782137740406,74.2457616,74.2457616,74.2457616,-23.216435422149534,-23.216435422149534,-23.216435422149534,-30.344544040110055,-30.344544040110055,-30.344544040110055,0.0,0.0,0.0,38.471972430734034
2014-01-08,17.66015400849257,-20.52848816518463,154.4849386129526,17.66015400849257,17.66015400849257,45.43220789365525,45.43220789365525,45.43220789365525,74.2457616,74.2457616,74.2457616,1.5132503827674855,1.5132503827674855,1.5132503827674855,-30.326804089112226,-30.326804089112226,-30.326804089112226,0.0,0.0,0.0,63.09236190214782
2014-01-09,17.533117723991506,-34.576206143503434,136.25503484865425,17.533117723991506,17.533117723991506,31.26147430259701,31.26147430259701,31.26147430259701,74.2457616,74.2457616,74.2457616,-13.457859999994056,-13.457859999994056,-13.457859999994056,-29.52642729740894,-29.52642729740894,-29.52642729740894,0.0,0.0,0.0,48.79459202658852
2014-01-10,17.406081439490446,-20.2347274545238,141.7172097791736,17.406081439490446,17.406081439490446,45.2706611810643,45.2706611810643,45.2706611810643,74.2457616,74.2457616,74.2457616,-1.0273656128722088,-1.0273656128722088,-1.0273656128722088,-27.947734806063487,-27.947734806063487,-27.947734806063487,0.0,0.0,0.0,62.67674262055475
2014-01-11,17.279045154989383,33.88211195045198,204.00961874619085,17.279045154989383,17.279045154989383,99.74336916818622,99.74336916818622,99.74336916818622,74.2457616,74.2457616,74.2457616,51.110044528487556,51.110044528487556,51.110044528487556,-25.61243696030135,-25.61243696030135,-25.61243696030135,0.0,0.0,0.0,117.02241432317561
2014-01-12,17.152008870488324,-2.513887911689471,155.1112422223647,17.152008870488324,17.152008870488324,58.04545028388716,58.04545028388716,58.04545028388716,74.2457616,74.2457616,74.2457616,6.3588110762442,6.3588110762442,6.3588110762442,-22.55912239235703,-22.55912239235703,-22.55912239235703,0.0,0.0,0.0,75.19745915437548
2014-01-13,17.02497258598726,-37.096040583355474,128.7736417885742,17.02497258598726,17.02497258598726,34.12292935316266,34.12292935316266,34.12292935316266,74.2457616,74.2457616,74.2457616,-21.28044495252194,-21.28044495252194,-21.28044495252194,-18.842387294315397,-18.842387294315397,-18.842387294315397,0.0,0.0,0.0,51.14790193914992
2014-01-14,16.897936301486197,-35.515520949078045,136.24308800585777,16.897936301486197,16.897936301486197,36.49769968713015,36.49769968713015,36.49769968713015,74.2457616,74.2457616,74.2457616,-23.216435422167926,-23.216435422167926,-23.216435422167926,-14.531626490701912,-14.531626490701912,-14.531626490701912,0.0,0.0,0.0,53.39563598861635
2014-01-15,16.770900016985134,-1.4537339494709451,168.5072403846615,16.770900016985134,16.770900016985134,66.0494969726922,66.0494969726922,66.0494969726922,74.2457616,74.2457616,74.2457616,1.5132503828261046,1.5132503828261046,1.5132503828261046,-9.709515010133918,-9.709515010133918,-9.709515010133918,0.0,0.0,0.0,82.82039698967733
2014-01-16,16.643863732484075,-8.97946174278182,159.9764164029323,16.643863732484075,16.643863732484075,56.317686365034476,56.317686365034476,56.317686365034476,74.2457616,74.2457616,74.2457616,-13.457859999917408,-13.457859999917408,-13.457859999917408,-4.470215235048118,-4.470215235048118,-4.470215235048118,0.0,0.0,0.0,72.96155009751855
2014-01-18,16.389791163481952,62.097122244953795,240.8508338415053,16.389791163481952,16.389791163481952,132.19401754157036,132.19401754157036,132.19401754157036,74.2457616,74.2457616,74.2457616,51.11004452850965,51.11004452850965,51.11004452850965,6.838211413060708,6.838211413060708,6.838211413060708,0.0,0.0,0.0,148.58380870505232
2014-01-19,16.26275487898089,22.163642676739165,193.03721710623822,16.26275487898089,16.26275487898089,93.28528351349743,93.28528351349743,93.28528351349743,74.2457616,74.2457616,74.2457616,6.35881107620298,6.35881107620298,6.35881107620298,12.680710837294447,12.680710837294447,12.680710837294447,0.0,0.0,0.0,109.54803839247832
2014-01-20,16.13571859447983,0.37116235178244755,175.07628324669008,16.13571859447983,16.13571859447983,71.45725907020719,71.45725907020719,71.45725907020719,74.2457616,74.2457616,74.2457616,-21.280444952475893,-21.280444952475893,-21.280444952475893,18.49194242268309,18.49194242268309,18.49194242268309,0.0,0.0,0.0,87.59297766468701
2014-01-21,16.008682309978767,1.5212988888921366,172.29816860994003,16.008682309978767,16.008682309978767,75.18305980980918,75.18305980980918,75.18305980980918,74.2457616,74.2457616,74.2457616,-23.21643542219528,-23.21643542219528,-23.21643542219528,24.153733632004453,24.153733632004453,24.153733632004453,0.0,0.0,0.0,91.19174211978795
2014-01-22,15.881646025477707,40.73581243859346,202.50343892906176,15.881646025477707,15.881646025477707,105.30942007538174,105.30942007538174,105.30942007538174,74.2457616,74.2457616,74.2457616,1.5132503828734283,1.5132503828734283,1.5132503828734283,29.550408092508302,29.550408092508302,29.550408092508302,0.0,0.0,0.0,121.19106610085944
2014-01-23,15.754609740976646,25.89703202054085,191.57235402345987,15.754609740976646,15.754609740976646,95.35908187828413,95.35908187828413,95.35908187828413,74.2457616,74.2457616,74.2457616,-13.457859999974918,-13.457859999974918,-13.457859999974918,34.57118027825904,34.57118027825904,34.57118027825904,0.0,0.0,0.0,111.11369161926078
2014-01-24,15.627573456475583,43.68143502971467,208.74421249153315,15.627573456475583,15.627573456475583,112.33082804488433,112.33082804488433,112.33082804488433,74.2457616,74.2457616,74.2457616,-1.0273656128309747,-1.0273656128309747,-1.0273656128309747,39.1124320577153,39.1124320577153,39.1124320577153,0.0,0.0,0.0,127.95840150135992
2014-01-25,15.50053717197452,95.00622206750403,267.13885793766656,15.50053717197452,15.50053717197452,168.43563059766893,168.43563059766893,168.43563059766893,74.2457616,74.2457616,74.2457616,51.11004452847025,51.11004452847025,51.11004452847025,43.07982446919866,43.07982446919866,43.07982446919866,0.0,0.0,0.0,183.93616776964345
2014-01-26,15.37350088747346,61.32813466615798,223.43158721420744,15.37350088747346,15.37350088747346,126.99477479062243,126.99477479062243,126.99477479062243,74.2457616,74.2457616,74.2457616,6.358811076275674,6.358811076275674,6.358811076275674,46.39020211434675,46.39020211434675,46.39020211434675,0.0,0.0,0.0,142.3682756780959
2014-01-27,15.246464602972399,30.317993427034104,195.16097853714743,15.246464602972399,15.246464602972399,101.93856908114992,101.93856908114992,101.93856908114992,74.2457616,74.2457616,74.2457616,-21.280444952524775,-21.280444952524775,-21.280444952524775,48.973252433674695,48.973252433674695,48.973252433674695,0.0,0.0,0.0,117.18503368412232
2014-01-28,15.119428318471337,42.38346236517708,202.0152995715895,15.119428318471337,15.119428318471337,101.80221390915415,101.80221390915415,101.80221390915415,74.2457616,74.2457616,74.2457616,-23.216435422169738,-23.216435422169738,-23.216435422169738,50.77288773132389,50.77288773132389,50.77288773132389,0.0,0.0,0.0,116.92164222762548
2014-01-29,14.992392033970276,57.282430438083914,228.75517174193337,14.992392033970276,14.992392033970276,127.50733599788566,127.50733599788566,127.50733599788566,74.2457616,74.2457616,74.2457616,1.5132503827875894,1.5132503827875894,1.5132503827875894,51.748324015098056,51.748324015098056,51.748324015098056,0.0,0.0,0.0,142.49972803185594
2014-01-30,14.865355749469213,51.05125490406641,210.90022973849895,14.865355749469213,14.865355749469213,112.66273897259535,112.66273897259535,112.66273897259535,74.2457616,74.2457616,74.2457616,-13.457859999965349,-13.457859999965349,-13.457859999965349,51.87483737256069,51.87483737256069,51.87483737256069,0.0,0.0,0.0,127.52809472206457
2014-01-31,14.738319464968152,53.93935554441912,224.25353361535798,14.738319464968152,14.738319464968152,124.36258155220295,124.36258155220295,124.36258155220295,74.2457616,74.2457616,74.2457616,-1.0273656128468729,-1.0273656128468729,-1.0273656128468729,51.14418556504983,51.14418556504983,51.14418556504983,0.0,0.0,0.0,139.1009010171711
